,erm_test_risk,erm_train_risk,reg_L2_test_risk,reg_L2_train_risk,test_risk,train_risk
alpha=100000.0/batch_size=100/data=tictactoe/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.2400835007429123,0.2275574058294296,0.0208768267184495,0.0125260958448052,0.2985386252403259,0.388308972120285
alpha=100000.0/batch_size=100/data=tictactoe/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.2379958182573318,0.2275574058294296,0.0208768267184495,0.0125260958448052,0.0208768267184495,0.0125260958448052
alpha=100000.0/batch_size=100/data=yeast/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.4272237122058868,0.4703504145145416,0.7196765542030334,0.7021563053131104,0.4973045885562897,0.526954174041748
alpha=100000.0/batch_size=100/data=segmentation/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.2320346385240554,0.0865800902247428,0.1567099541425705,0.0580086596310138,0.2164502143859863,0.0571428574621677
alpha=100000.0/batch_size=100/data=yeast/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.4272237122058868,0.4703504145145416,0.6873315572738647,0.6927223801612854,0.5040431022644043,0.5242587327957153
alpha=100000.0/batch_size=100/data=segmentation/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.2320346385240554,0.0865800902247428,0.1766233742237091,0.0753246769309043,0.3861471712589264,0.1636363565921783
alpha=100000.0/batch_size=100/data=satimage/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.2092011123895645,0.1479639410972595,0.2029841393232345,0.1436120569705963,0.2001865059137344,0.144233763217926
alpha=100000.0/batch_size=100/data=satimage/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.2092011123895645,0.1479639410972595,0.2004973590373993,0.1383276283740997,0.2011190503835678,0.1383276283740997
alpha=100000.0/batch_size=100/data=pendigits/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.0640465766191482,0.0518558956682682,0.0571324601769447,0.0465793311595916,0.0613173209130764,0.0500363893806934
alpha=100000.0/batch_size=100/data=phishing/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.066763162612915,0.0636873543262481,0.0616971217095851,0.0573548041284084,0.0692961812019348,0.0654966533184051
