,erm_test_risk,erm_train_risk,reg_L2_test_risk,reg_L2_train_risk,test_risk,train_risk
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.0,0.0,0.0,0.0,0.0,0.0
alpha=100000.0/batch_size=100/data=pendigits/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.0220160111784935,0.0087336245924234,0.0263828244060277,0.0121906846761703,0.0316593907773494,0.0209243092685937
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.0,0.0,0.0,0.0,0.0002461841504555,0.0002461841504555
alpha=100000.0/batch_size=100/data=phishing/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.0540980659425258,0.0452324971556663,0.0499366745352745,0.0417948253452777,0.0497557446360588,0.0419757552444934
alpha=100000.0/batch_size=100/data=pendigits/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.0262008737772703,0.0105531299486756,0.021834060549736,0.0090975258499383,0.0229257643222808,0.0087336245924234
alpha=100000.0/batch_size=100/data=nursery/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.7188271880149841,0.7061728835105896,0.7878086566925049,0.7695987820625305,0.7192901372909546,0.7057099342346191
alpha=100000.0/batch_size=100/data=letter/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.2703999876976013,0.2583000063896179,0.2689000070095062,0.2557999789714813,0.2601000070571899,0.2495999932289123
alpha=100000.0/batch_size=100/data=nursery/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.7188271880149841,0.7061728835105896,0.7206790447235107,0.704321026802063,0.7191358208656311,0.7058642506599426
alpha=100000.0/batch_size=100/data=letter/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.2703999876976013,0.2583000063896179,0.2745999991893768,0.2606000006198883,0.2717999815940857,0.2592000067234039
alpha=100000.0/batch_size=100/data=segmentation/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.2/seed=0/width_size=600,0.35757577419281,0.1922077983617782,0.2155844271183014,0.1411255449056625,0.2502164542675018,0.1454545557498932
